Trigram,Frekuensi
salah satu algoritma,1
satu algoritma tertua,1
algoritma tertua paling,1
tertua paling sederhana,1
paling sederhana dan,1
sederhana dan juga,1
dan juga akurat,1
juga akurat untuk,1
akurat untuk klasifikasi,1
untuk klasifikasi pola,1
klasifikasi pola dan,1
pola dan model,1
dan model regresi,1
model regresi knn,1
regresi knn diajukan,1
knn diajukan pada,1
diajukan pada tahun,1
pada tahun 1951,1
tahun 1951 oleh,1
1951 oleh evelyn,1
oleh evelyn dan,1
evelyn dan hodges,1
dan hodges dan,1
hodges dan kemudian,1
dan kemudian dimodifikasi,1
kemudian dimodifikasi oleh,1
dimodifikasi oleh cover,1
oleh cover dan,1
cover dan hart,1
dan hart knn,1
hart knn telah,1
knn telah diidentifikasi,1
telah diidentifikasi sebagai,1
diidentifikasi sebagai salah,1
sebagai salah satu,12
salah satu dari,4
satu dari sepuluh,1
dari sepuluh metode,1
sepuluh metode teratas,1
metode teratas dalam,1
teratas dalam data,1
dalam data miningl,1
data miningl wang,1
miningl wang 2019,1
wang 2019 akibatnya,1
2019 akibatnya knn,1
akibatnya knn telah,1
knn telah dipelajari,1
telah dipelajari selama,1
dipelajari selama beberapa,1
selama beberapa dekade,3
beberapa dekade terakhir,3
dekade terakhir dan,1
terakhir dan diterapkan,1
dan diterapkan secara,1
diterapkan secara luas,1
secara luas di,1
luas di berbagai,1
di berbagai bidang,2
berbagai bidang dengan,1
bidang dengan demikian,1
dengan demikian knn,2
demikian knn terdiri,1
knn terdiri dari,1
terdiri dari pengklasifikasi,1
dari pengklasifikasi dasar,1
pengklasifikasi dasar dalam,1
dasar dalam banyak,1
dalam banyak masalah,1
banyak masalah klasifikasi,1
masalah klasifikasi pola,1
klasifikasi pola seperti,1
pola seperti pengenalan,1
pengenalan pola kategorisasi,1
pola kategorisasi teks,1
kategorisasi teks model,1
teks model peringkat,1
model peringkat pengenalan,1
peringkat pengenalan objek,1
pengenalan objek dan,1
objek dan aplikasi,1
dan aplikasi jurnal,1
aplikasi jurnal pendidikan,1
bync 40 132,1
40 132 pengenalan,1
132 pengenalan peristiwamehta,1
pengenalan peristiwamehta et,1
peristiwamehta et al,1
et al 2021,18
al 2021 knn,1
2021 knn adalah,1
knn adalah algoritma,1
adalah algoritma nonparametric,1
algoritma nonparametric nonparametrik,1
nonparametric nonparametrik berarti,1
nonparametrik berarti tidak,1
berarti tidak ada,1
tidak ada parameter,1
ada parameter atau,1
parameter atau jumlah,1
atau jumlah parameter,1
jumlah parameter tetap,1
parameter tetap terlepas,1
tetap terlepas dari,1
terlepas dari ukuran,1
dari ukuran data,1
ukuran data sebaliknya,1
data sebaliknya parameter,1
sebaliknya parameter akan,1
parameter akan ditentukan,1
akan ditentukan oleh,1
ditentukan oleh ukuran,1
oleh ukuran kumpulan,1
ukuran kumpulan data,1
kumpulan data pelatihan,1
data pelatihan meskipun,1
pelatihan meskipun tidak,1
meskipun tidak ada,2
tidak ada asumsi,1
ada asumsi yang,1
asumsi yang perlu,1
yang perlu dibuat,1
perlu dibuat untuk,1
dibuat untuk distribusi,1
untuk distribusi data,1
distribusi data yang,2
data yang mendasarinya,1
yang mendasarinya dengan,1
mendasarinya dengan demikian,1
demikian knn bisa,1
knn bisa menjadi,1
bisa menjadi pilihan,1
menjadi pilihan terbaik,1
pilihan terbaik untuk,1
terbaik untuk setiap,1
untuk setiap studi,1
setiap studi klasifikasi,1
studi klasifikasi yang,1
klasifikasi yang melibatkan,1
yang melibatkan sedikit,1
melibatkan sedikit atau,1
sedikit atau tanpa,1
atau tanpa pengetahuan,1
tanpa pengetahuan sebelumnya,1
pengetahuan sebelumnya tentang,1
sebelumnya tentang distribusi,1
tentang distribusi data,1
distribusi data selain,1
data selain itu,2
selain itu knn,1
itu knn adalah,1
salah satu metode,5
satu metode pembelajaran,1
metode pembelajaran yang,1
pembelajaran yang paling,1
yang paling malastamrakar,1
paling malastamrakar and,1
malastamrakar and syed,1
and syed ibrahim,1
syed ibrahim 2021,2
ibrahim 2021 ini,1
2021 ini berarti,1
ini berarti penyimpanan,1
berarti penyimpanan semua,1
penyimpanan semua data,1
semua data pelatihan,1
data pelatihan akan,1
pelatihan akan menunggu,1
akan menunggu sampai,1
menunggu sampai data,1
sampai data uji,1
data uji dihasilkan,1
uji dihasilkan tanpa,1
dihasilkan tanpa harus,1
tanpa harus membuat,1
harus membuat model,1
membuat model pembelajaran,1
model pembelajaran kelambatan,1
pembelajaran kelambatan bukan,1
kelambatan bukan satusatunya,1
bukan satusatunya masalah,1
satusatunya masalah yang,1
masalah yang terkait,1
yang terkait dengan,8
terkait dengan pengklasifikasi,1
dengan pengklasifikasi knn,1
pengklasifikasi knn selain,1
knn selain memilih,1
selain memilih masalah,1
memilih masalah kneighbors,1
masalah kneighbors terbaik,1
kneighbors terbaik memilih,1
terbaik memilih ukuran,1
memilih ukuran jarakkesamaan,1
ukuran jarakkesamaan terbaik,1
jarakkesamaan terbaik adalah,1
terbaik adalah masalah,1
adalah masalah penting,1
masalah penting hal,1
penting hal ini,1
hal ini karena,1
ini karena kinerja,1
karena kinerja pengklasifikasi,1
kinerja pengklasifikasi knn,2
pengklasifikasi knn bergantung,1
knn bergantung pada,1
bergantung pada jarakukuran,1
pada jarakukuran kesamaan,1
jarakukuran kesamaan yang,1
kesamaan yang digunakanabu,1
yang digunakanabu alfeilat,1
digunakanabu alfeilat et,1
alfeilat et al,2
et al 2019,15
al 2019 uddin,1
2019 uddin et,1
uddin et al,1
et al 2022,6
al 2022 kelemahan,1
2022 kelemahan pada,1
kelemahan pada algoritma,1
algoritma knn ini,1
knn ini banyak,1
ini banyak dijadikan,1
banyak dijadikan sebagai,1
dijadikan sebagai bahan,1
sebagai bahan para,1
bahan para peniliti,1
para peniliti untuk,1
peniliti untuk berupaya,1
untuk berupaya agar,1
berupaya agar meningkatkan,1
agar meningkatkan kinerja,1
dari knn sehingga,1
knn sehingga banyak,1
sehingga banyak jenis,1
banyak jenis dari,1
jenis dari peningkatan,1
dari peningkatan ataupun,1
peningkatan ataupun modifikasi,1
ataupun modifikasi dari,1
modifikasi dari algoritma,1
dari algoritma knn,7
algoritma knn banyak,1
knn banyak juga,1
banyak juga knn,1
juga knn digabungkan,1
knn digabungkan dengan,1
digabungkan dengan teknik,1
learning lainnya sehingga,1
lainnya sehingga dapat,1
sehingga dapat mengurangi,1
dapat mengurangi dari,1
mengurangi dari kelemahan,1
dari kelemahan knn,1
kelemahan knn tersebut,1
knn tersebut oleh,1
tersebut oleh karena,1
karena itu penelitian,3
itu penelitian akan,1
penelitian akan berfokus,1
akan berfokus mengenalkan,1
berfokus mengenalkan beberapa,1
mengenalkan beberapa modifikasi,1
beberapa modifikasi dan,1
modifikasi dan peningkatan,1
dan peningkatan dari,1
peningkatan dari algoritma,2
algoritma knn sehingga,1
knn sehingga dengan,1
sehingga dengan harapan,1
dengan harapan dapat,2
harapan dapat menjadi,1
dapat menjadi pedoman,2
menjadi pedoman untuk,1
pedoman untuk penelitian,1
untuk penelitian di,1
penelitian di masa,1
di masa yang,2
masa yang akan,2
yang akan datang,5
akan datang studi,1
datang studi literatur,1
studi literatur beberapa,1
literatur beberapa penelitian,1
beberapa penelitian sudah,1
penelitian sudah banyak,1
sudah banyak meneliti,1
banyak meneliti tentang,1
meneliti tentang peningkatan,1
tentang peningkatan algoritma,2
peningkatan algoritma knn,2
algoritma knn dan,4
knn dan pemodifikasian,1
dan pemodifikasian dari,1
pemodifikasian dari algoritma,1
algoritma knn setiap,1
knn setiap penelitian,1
setiap penelitian memiliki,1
penelitian memiliki variasi,1
memiliki variasi studi,1
variasi studi yang,1
studi yang berbedabeda,1
yang berbedabeda mulai,1
berbedabeda mulai dari,1
mulai dari data,1
dari data distribusi,1
data distribusi tipe,1
distribusi tipe data,1
tipe data dan,1
data dan menggunakan,1
dan menggunakan jumlah,1
menggunakan jumlah jarak,1
jumlah jarak dan,1
jarak dan ukuran,1
dan ukuran kesamaan,1
ukuran kesamaan yan,1
kesamaan yan berbeda,1
yan berbeda pengembangan,1
berbeda pengembangan knn,1
pengembangan knn ini,1
knn ini jelas,1
ini jelas banyak,1
jelas banyak dilakukan,1
banyak dilakukan karena,1
dilakukan karena algoritma,1
karena algoritma ini,1
algoritma ini cukup,1
ini cukup sederhana,1
cukup sederhana tetapi,1
sederhana tetapi efektif,1
tetapi efektif untuk,1
efektif untuk masalah,1
untuk masalah klasifikasi,1
masalah klasifikasi dan,1
klasifikasi dan regresi,1
dan regresi proses,1
regresi proses pengembangan,1
proses pengembangan algoritma,1
pengembangan algoritma knn,1
algoritma knn secara,1
knn secara umum,1
secara umum dapat,2
umum dapat dilakukan,1
dapat dilakukan dengan,8
dilakukan dengan pengumpulan,1
dengan pengumpulan data,3
pengumpulan data pemilihan,1
data pemilihan fitur,1
pemilihan fitur penentuan,1
fitur penentuan nilai,1
penentuan nilai k,2
nilai k perhitungan,1
k perhitungan jarak,1
perhitungan jarak penentuan,1
jarak penentuan kelas,1
penentuan kelas ata,1
kelas ata nilai,1
ata nilai dan,1
nilai dan evaluasi,1
dan evaluasi model,1
evaluasi model dengan,1
model dengan mengikuti,1
dengan mengikuti langkah,1
mengikuti langkah sederhana,1
langkah sederhana itu,1
sederhana itu maka,1
itu maka pengembangan,1
maka pengembangan knn,1
pengembangan knn dapat,1
knn dapat dilakukan,1
dapat dilakukan dan,1
dilakukan dan di,1
dan di aplikasikan,1
di aplikasikan untuk,1
aplikasikan untuk jenis,1
untuk jenis masalah,1
jenis masalah klasifikasi,1
masalah klasifikasi seperti,1
klasifikasi seperti pada,1
seperti pada penelitian,1
pada penelitian inian,1
penelitian inian xu,1
inian xu and,1
xu and shen,2
and shen 2019,2
shen 2019 yang,1
2019 yang melakukan,1
yang melakukan peningkatan,1
melakukan peningkatan knn,1
peningkatan knn untuk,1
knn untuk klasifikasi,2
untuk klasifikasi metode,1
klasifikasi metode pembelajaran,1
metode pembelajaran dimana,1
pembelajaran dimana pada,1
dimana pada proses,1
pada proses klasifikasi,1
proses klasifikasi yang,1
klasifikasi yang menggunakan,1
yang menggunakan knn,1
menggunakan knn tradisional,1
knn tradisional diganti,1
tradisional diganti dengan,1
diganti dengan diusulkan,1
dengan diusulkan algoritmaknn,1
diusulkan algoritmaknn yang,1
algoritmaknn yang berdasarkan,1
yang berdasarkan skema,1
berdasarkan skema density,2
skema density tailoring,2
density tailoring pada,1
tailoring pada penelitian,1
pada penelitian lainnyab,1
penelitian lainnyab wang,1
lainnyab wang et,1
wang et al,2
et al 2020,16
al 2020 disini,1
2020 disini mengusulkan,1
disini mengusulkan metode,1
mengusulkan metode weighted,2
metode weighted knn,2
weighted knn wknn,2
knn wknn yang,1
wknn yang dimana,1
yang dimana metode,2
dimana metode ini,1
metode ini adalah,2
ini adalah sebuah,2
adalah sebuah peningkatan,1
sebuah peningkatan knn,1
peningkatan knn yang,1
knn yang digunakan,1
yang digunakan untuk,34
digunakan untuk mencapa,1
untuk mencapa akurasi,1
mencapa akurasi pemosisian,1
akurasi pemosisian tingkat,2
pemosisian tingkat ruangan,2
tingkat ruangan algoritma,1
ruangan algoritma ini,1
algoritma ini menggunakan,1
ini menggunakan pengelompokan,1
menggunakan pengelompokan propagasi,1
pengelompokan propagasi afinitas,2
propagasi afinitas untuk,2
afinitas untuk mengelompokkan,2
untuk mengelompokkan reference,2
mengelompokkan reference point,2
reference point rp,2
point rp terdekat,2
rp terdekat sesuai,2
terdekat sesuai dengan,2
sesuai dengan jarak,2
dengan jarak posisi,2
jarak posisi mereka,2
posisi mereka satu,2
mereka satu sama,2
satu sama lain,6
sama lain dan,4
lain dan outlier,2
dan outlier disaring,2
outlier disaring untuk,2
disaring untuk memesan,2
untuk memesan subset,2
memesan subset dengan,2
subset dengan jumlah,2
dengan jumlah rp,2
jumlah rp yang,2
rp yang lebih,2
yang lebih besar,7
lebih besar yang,1
besar yang dimana,1
yang dimana pada,1
dimana pada hasilnya,1
pada hasilnya dengan,1
hasilnya dengan meningkatkan,1
dengan meningkatkan algoritma,1
meningkatkan algoritma ini,1
algoritma ini membuat,1
ini membuat keakuratan,1
membuat keakuratan yang,1
keakuratan yang baik,1
yang baik metode,1
baik metode penelitian,1
metode penelitian ini,3
penelitian ini merupakan,7
ini merupakan kajian,1
merupakan kajian pustaka,1
kajian pustaka dari,1
pustaka dari beberapa,1
dari beberapa artikel,2
beberapa artikel yang,2
artikel yang terkait,2
yang terkait algoritma,1
terkait algoritma knn,1
algoritma knn peninjauan,1
knn peninjauan dilakukan,1
peninjauan dilakukan dari,1
dilakukan dari beberapa,1
dari beberapa upaya,1
beberapa upaya penelitian,1
upaya penelitian terbaru,1
penelitian terbaru yang,1
terbaru yang memanfaatkan,1
yang memanfaatkan algoritma,1
memanfaatkan algoritma knn,1
algoritma knn setelah,1
knn setelah itu,1
setelah itu kajian,1
itu kajian ini,1
kajian ini berasal,1
ini berasal dari,2
berasal dari beberapa,1
dari beberapa literasi,1
beberapa literasi dan,1
literasi dan mencakup,1
dan mencakup upaya,1
mencakup upaya peningkatan,1
upaya peningkatan serta,1
peningkatan serta modifikasi,1
serta modifikasi pada,1
modifikasi pada algoritma,1
algoritma knn yang,4
knn yang dibagi,1
yang dibagi ke,1
dibagi ke dalam,2
ke dalam setiap,1
dalam setiap judul,1
setiap judul penelitian,1
judul penelitian proses,1
penelitian proses pengumpulan,1
proses pengumpulan data,1
pengumpulan data yang,4
data yang digunakan,8
digunakan untuk memeriksa,1
untuk memeriksa beberapa,1
memeriksa beberapa literature,1
beberapa literature sangat,1
literature sangat berguna,1
sangat berguna untuk,1
berguna untuk mencari,1
untuk mencari dan,1
mencari dan memperoleh,1
dan memperoleh sumber,1
memperoleh sumber kajian,1
sumber kajian berdasarkan,1
kajian berdasarkan penelitian,1
berdasarkan penelitian relevan,1
penelitian relevan sebelumnya,1
relevan sebelumnya teoriteori,1
sebelumnya teoriteori yang,1
teoriteori yang jurnal,1
yang jurnal pendidikan,1
bync 40 133,1
40 133 mendukung,1
133 mendukung data,1
mendukung data dan,1
data dan informasi,6
dan informasi sebagai,1
informasi sebagai referensi,1
sebagai referensi dalam,1
referensi dalam dokumentasi,1
dalam dokumentasi pada,1
dokumentasi pada penelitian,1
pada penelitian ini,19
penelitian ini di,1
ini di tabel,1
di tabel 1,1
tabel 1 akan,1
1 akan dijelaskan,1
akan dijelaskan lebih,1
dijelaskan lebih detail,1
lebih detail tentang,1
detail tentang peningkatan,1
peningkatan algoritma yang,1
algoritma yang sudah,1
yang sudah pernah,2
sudah pernah dilakukan,1
pernah dilakukan sebelumnya,1
dilakukan sebelumnya dan,1
sebelumnya dan perbandingan,1
dan perbandingan dari,1
perbandingan dari jenisjenis,1
dari jenisjenis algoritma,1
jenisjenis algoritma knn,1
algoritma knn hasil,1
knn hasil hasil,1
hasil hasil dari,1
hasil dari ulasan,1
dari ulasan menunjukkan,1
ulasan menunjukkan beberapa,1
menunjukkan beberapa penelitian,1
beberapa penelitian menggunakan,1
penelitian menggunakan algoritma,1
menggunakan algoritma knn,2
knn yang ditingkatkan,4
yang ditingkatkan untuk,1
ditingkatkan untuk memecahkan,1
untuk memecahkan masalah,3
memecahkan masalah sesuai,1
masalah sesuai dengan,1
sesuai dengan kebutuhan,7
dengan kebutuhan pada,1
kebutuhan pada bidang,1
pada bidang penelitian,1
bidang penelitian masingmasing,1
penelitian masingmasing penjelasan,1
masingmasing penjelasan mengenai,1
penjelasan mengenai peningkatan,1
mengenai peningkatan algoritma,1
knn dan mengenai,1
dan mengenai pemecahan,1
mengenai pemecahan masalahnya,1
pemecahan masalahnya secara,1
masalahnya secara detail,1
secara detail ditunjukkan,1
detail ditunjukkan pada,1
ditunjukkan pada tabel,9
pada tabel 1,7
tabel 1 tabel,3
1 tabel 1,1
tabel 1 perbandingan,2
1 perbandingan jenis,1
perbandingan jenis pengembangan,1
jenis pengembangan dengan,1
pengembangan dengan algoritma,1
dengan algoritma knn,1
algoritma knn judul,1
knn judul penelitian,1
judul penelitian keterangan,1
penelitian keterangan effects,1
keterangan effects of,1
effects of distance,2
of distance measure,2
distance measure choice,2
measure choice on,2
choice on k,1
on k nearest,1
k nearest neighbor,9
nearest neighbor classifier,1
neighbor classifier performance,2
classifier performance a,2
performance a review,2
a review menganalisis,1
review menganalisis kinerja,1
menganalisis kinerja pengklasifikasi,1
pengklasifikasi knn menggunakan,1
knn menggunakan 11,1
menggunakan 11 ukuran,1
11 ukuran jarak,1
ukuran jarak termasuk,1
jarak termasuk euclidean,1
termasuk euclidean distance,1
euclidean distance ed,1
distance ed manhattan,1
ed manhattan distance,1
manhattan distance md,1
distance md minkowski,1
md minkowski distance,2
minkowski distance chebychev,2
distance chebychev distance,2
chebychev distance cosine,1
distance cosine distance,1
cosine distance cosd,1
distance cosd correlation,1
cosd correlation distance,1
correlation distance cord,1
distance cord hamming,1
cord hamming distance,1
hamming distance hamd,1
distance hamd jaccard,1
hamd jaccard distance,1
jaccard distance jacd,1
distance jacd standardized,1
jacd standardized euclidean,1
standardized euclidean distance,2
euclidean distance dan,1
distance dan spearman,1
dan spearman distance,1
spearman distance penelitian,1
distance penelitian ini,1
penelitian ini telah,1
ini telah diterapkan,1
telah diterapkan pada,1
diterapkan pada delapan,1
pada delapan set,1
delapan set data,1
set data sintetik,1
data sintetik biner,1
sintetik biner dengan,1
biner dengan berbagai,1
dengan berbagai jenis,1
