Unigram,Frekuensi
diidentifikasi,3
sepuluh,6
teratas,2
miningl,1
wang,19
2019,130
akibatnya,11
dipelajari,8
selama,86
beberapa,195
dekade,5
terakhir,32
luas,38
di,1403
demikian,64
terdiri,83
pengklasifikasi,14
dasar,84
kategorisasi,1
teks,17
peringkat,3
132,6
peristiwamehta,1
et,190
al,201
2021,158
nonparametric,1
nonparametrik,1
berarti,64
tidak,717
ada,293
tetap,43
terlepas,6
ukuran,27
sebaliknya,10
akan,507
ditentukan,20
kumpulan,23
pelatihan,67
meskipun,56
asumsi,9
perlu,102
dibuat,48
distribusi,22
mendasarinya,2
bisa,160
pilihan,13
terbaik,31
setiap,143
studi,101
melibatkan,42
sedikit,17
tanpa,82
pengetahuan,89
sebelumnya,52
tentang,220
malastamrakar,1
and,754
syed,2
ibrahim,3
penyimpanan,36
semua,84
menunggu,1
sampai,42
uji,83
dihasilkan,20
harus,174
membuat,129
kelambatan,1
bukan,54
satusatunya,6
memilih,27
kneighbors,1
jarakkesamaan,1
bergantung,14
jarakukuran,1
kesamaan,14
digunakanabu,1
alfeilat,3
uddin,2
2022,129
dijadikan,26
bahan,62
para,115
peniliti,1
berupaya,9
agar,143
sehingga,244
ataupun,56
modifikasi,73
digabungkan,7
mengurangi,47
berfokus,11
mengenalkan,1
harapan,20
pedoman,17
masa,75
datang,13
meneliti,3
pemodifikasian,1
variasi,3
berbedabeda,6
mulai,54
tipe,29
menggunakan,455
yan,4
berbeda,71
jelas,23
tetapi,105
efektif,55
proses,216
umum,65
pengumpulan,36
fitur,35
penentuan,24
perhitungan,31
kelas,90
ata,1
evaluasi,14
mengikuti,30
langkah,35
maka,153
aplikasikan,1
inian,1
xu,10
shen,4
dimana,84
tradisional,112
diganti,2
diusulkan,26
algoritmaknn,1
skema,12
density,7
tailoring,2
lainnyab,1
2020,139
disini,9
mengusulkan,10
weighted,5
wknn,4
mencapa,1
pemosisian,4
tingkat,152
ruangan,3
pengelompokan,3
propagasi,2
afinitas,2
mengelompokkan,2
reference,3
point,9
rp,8
sesuai,135
posisi,44
mereka,326
sama,65
lain,216
outlier,3
disaring,2
memesan,4
subset,6
hasilnya,15
keakuratan,3
pustaka,68
peninjauan,2
upaya,59
terbaru,11
setelah,73
berasal,34
literasi,4
dibagi,15
ke,265
judul,24
memeriksa,7
literature,41
sangat,192
berguna,13
mencari,34
memperoleh,35
sumber,270
relevan,18
teoriteori,4
133,5
mendukung,49
informasi,373
referensi,22
dokumentasi,10
tabel,178
1,621
dijelaskan,22
detail,5
pernah,22
perbandingan,33
jenisjenis,7
ulasan,6
ditingkatkan,12
memecahkan,9
kebutuhan,99
masingmasing,30
penjelasan,14
mengenai,61
pemecahan,6
masalahnya,3
ditunjukkan,25
keterangan,35
effects,11
of,795
distance,23
measure,5
choice,2
on,152
classifier,10
performance,10
review,63
11,111
termasuk,91
euclidean,5
ed,9
manhattan,2
md,4
minkowski,2
chebychev,2
cosine,2
cosd,1
correlation,1
cord,1
hamming,1
hamd,1
jaccard,1
jacd,1
standardized,2
spearman,1
delapan,2
set,16
sintetik,1
biner,6
matlab,3
membagi,8
70,21
30,65
pengujian,148
bahwa,446
mahalanobis,1
mencapai,95
mengungguli,5
diuji,14
dinormalisasi,1
sebelum,24
percobaan,23
mengevaluasi,10
sensitivitas,3
spesifitas,1
dihitung,20
dilaporkan,4
978,1
9676,1
spesifisitas,1
9835,1
metric,1
menyerupai,2
diukur,11
presisi,8
recall,11
turun,9
20,74
sedangkan,90
noise,3
level,44
90,21
berlaku,11
10,98
menoleransi,1
tertentuabu,1
new,24
locally,2
adaptive,2
algorithm,18
based,49
discrimination,2
class,3
neighbour,3
handal,4
alasannya,2
mengabaikan,6
pengaruh,137
spasial,4
kueri,10
instance,1
konsep,64
centroid,1
ncn,1
contoh,47
lingkungan,212
dependent,3
dnn,2
ketergantungan,12
angle,1
ketika,70
alasan,39
sepihak,2
dilihat,61
sudut,6
pandang,9
antara,175
tilah,1
diperhitungkan,2
pekerjaan,34
mayoritas,9
neighborhood,1
menentukan,56
sepenuhnya,7
menyebabkan,77
buruk,45
jauh,20
tunggal,10
134,5
lokasi,20
berbedapan,1
pan,5
study,57
observation,3
the,681
variation,2
accuracies,2
svm,33
lmnn,4
enn,7
algorithms,7
eleven,2
different,5
datasets,6
from,53
uci,3
repository,2
mirip,7
kedua,55
area,15
dianggap,35
menemukan,32
sebagaian,1
probabilitas,8
web,87
kelompok,123
daripada,32
otomatis,19
manfaat,67
kemampuang,1
menangani,9
sejumlah,28
gagal,16
disisi,3
cost,12
kerumitannya,1
tinggi,184
mengatasi,33
kekurangan,24
bernama,2
extended,2
kinerjanya,3
diamati,5
menyiratkan,2
tradisionalna,1
sampel,50
keempat,12
yaitu,330
dampak,117
kuat,51
sektor,43
saat,154
digantikan,5
sempurna,7
vital,3
diabaikankhan,1
2018,126
ddos,18
attack,27
detection,26
method,24
improved,4
with,75
degree,3
in,347
softwaredefined,2
networks,18
serangan,70
distributed,6
denial,18
service,66
mengganggu,15
ketersediaan,12
jaringan,112
masih,87
belum,60
mekanisme,10
pertahanan,11
melawannya,1
dua,70
mendeteksi,18
sdn,1
mengadopsi,18
support,19
vector,14
membangun,45
ddosdong,1
sarem,2
enam,5
diperkenalkan,4
eksperimen,13
alarm,13
palsu,114
rendah,40
trafik,2
tcp,2
udp,1
icmp,1
cognitiveinspired,1
computing,9
cic,1
sementara,31
pendeteksiannya,1
lagi,49
pendeteksian,1
disebut,38
ddada,1
deteksi,25
ddaml,2
mengindentifikasi,2
dibandingkan,67
solusi,39
classification,15
teaching,3
resources,13
pemodelan,2
personel,1
manufaktur,1
sejak,39
ahli,13
teknologi,402
ilmuwan,4
intelijen,1
terkenal,9
spark,1
salton,1
1980an,1
rekayasa,26
menurut,121
diberikan,39
aturan,20
dibentuk,4
manual,13
korpora,1
menghadapi,25
metodenya,1
terbatas,24
preprocessing,6
strategi,29
tujuan,132
daya,198
pengajaran,8
sekolah,57
menengah,14
135,1
daerah,106
kepadatan,6
ruang,58
sampe,4
dipotong,2
dijalankan,9
kesalahan,22
disebabkan,31
merata,6
diselesaikan,22
kompleksitas,7
berkurang,13
input,34
efektivitas,8
diverifikasi,4
ajar,2
sd,11
smp,10
layak,8
efektifan,1
fast,5
peak,2
clustering,3
for,113
large,7
scale,3
vantagepoint,1
tree,23
vp,1
kd,2
memisahkan,5
titik,17
partisi,2
dekat,11
vantage,1
threshold,19
berulang,8
kali,81
menerapkan,33
prosedur,14
mempartisi,1
kecil,37
struktur,51
cenderung,23
flann,2
library,14
approximate,1
dimensi,16
berisi,22
pencarian,12
sistem,405
tergantung,21
menerima,38
knndensity,1
menggantikan,9
asli,7
didefinisikan,7
dpeak,1
kepadatany,1
chen,16
costsensitive,2
datama,1
chi,3
pertama,54
kmeans,1
seluruh,51
dataset,79
bagian,93
diklasifikasikan,4
ktree,6
membutuhkan,27
operasional,9
serupa,7
menetapkan,11
perpanjangan,5
mempercepat,5
tahap,102
pengujiannya,1
menyimpan,37
leaf,20
node,14
menyajikan,11
directcsknn,1
csknn,1
sensitive,2
meminimalkan,2
smoothing,1
pengaturan,26
biaya,9
minimum,37
cs,2
stacking,1
csknns,1
zhang,16
methods,13
cyber,60
security,44
intrusion,5
comparative,5
inikilincer,1
ertam,2
sengur,2
deep,40
recurrent,1
neural,62
network,80
rnn,1
restricted,1
boltzmann,2
machines,2
rbm,1
belief,1
dbn,1
convoluted,1
cnn,51
dbm,2
autoencoders,1
da,7
mengimplementasikannya,1
cse,1
cicids2018,1
botlot,1
keberhasilan,13
diperiksa,1
pengertian,29
35,20
kategori,32
csecicids,1
2017,158
memenuhi,33
intrusi,2
environtment,2
penyerang,15
korban,87
disiapkan,2
brute,2
force,5
heartbleed,1
botnet,2
dos,11
infiltration,1
diatur,21
dievaluasi,2
136,3
perkembangan,138
pintar,6
internet,217
kehidupan,128
seharihari,33
meluasnya,1
berkembang,45
hari,52
mencegah,31
dideteksi,3
terlebih,11
dahulu,7
ids,2
lalu,21
lintas,25
mesimulasikan,1
seranganalemari,1
khraisat,2
digital,76
economy,12
development,66
forecast,2
artificial,60
intelligence,59
pengelompokkan,1
puncak,3
memperkenalkan,3
memerlukan,25
iterative,1
didasarkan,17
densitas,1
vervis,2
alternatif,19
jaring,6
svmknn,2
karakteristik,46
kombinasi,16
berbobot,2
harmonik,2
datafu,1
zhou,6
mei,10
comparison,5
analysis,27
logistic,41
regression,33
naive,2
bayes,18
credit,2
card,2
fraud,5
penyajian,5
decision,17
random,57
forest,28
mentah,3
praditangani,1
investigasi,1
didapatkan,47
logistik,27
ketepatan,6
977,1
975,1
955,8
diperoleh,65
tepat,30
986,3
penipuan,41
kartu,15
kredit,13
ulb,1
mesin,23
dilatih,8
public,22
korelasi,7
faktorfaktor,31
negatif,60
pengambilan,42
acak,21
ketidakseimbangan,8
dataitoo,1
meenakshi,2
singh,5
berkinerja,1
kondisi,96
realistis,5
faktor,167
mana,58
transaksi,27
nonpenipuan,2
rasio,7
mendekati,4
samaabidin,1
hamsa,2
lr,6
proporsi,4
naïve,16
nb,4
berhasil,48
mendapatkan,91
maksimum,8
95,11
91,12
75,13
sensivity,1
specificity,1
precision,1
fmeasure,1
diawasi,2
137,3
an,82
enhanced,3
human,34
speech,2
emotion,3
recognition,10
using,42
hybrid,2
prnn,3
ratarata,59
komprehensif,6
melalui,187
rata,12
multikomprehensif,1
bentangan,2
terstruktur,13
perwakilan,10
multilokal,1
vektor,3
spesifik,16
kelasnya,2
lokal,40
per,38
merancang,10
nested,1
pasti,15
ensemble,7
gangguan,34
multimodal,2
reduced,2
subspacebases,1
bagging,2
rrsb,4
komponen,21
beragam,27
tampaknya,9
emosi,10
ucapan,3
marah,4
senang,6
sedih,2
netral,1
terkejut,1
takut,3
metodologi,13
lanjutan,2
prapemrosesan,2
pattern,5
ekstraksi,5
ciri,12
bertingkat,1
mel,1
frequency,1
cepstral,1
coefficient,2
mfcc,1
gray,1
cooccurrence,1
matric,1
glcm,1
f,60
standar,35
gaussian,7
mixture,1
gmm,1
hidden,18
markov,1
hmm,1
diakui,10
output,24
standarumamaheswari,1
akila,2
novel,6
rss,2
similarity,2
position,4
wifi,4
fingerprint,2
positioning,2
bobot,22
mendefinisikan,6
koefisien,13
access,25
difilter,1
cluster,3
test,46
tp,3
dibuang,1
mengakibatkan,26
diketahui,36
perkiraan,3
dirancang,27
euclideanwknn,1
sebesar,126
4528,1
3841,1
2060,3
4036,1
3794,1
3374,1
tiga,48
databaseb,1
makalah,15
menyelidiki,1
ansambel,2
iniy,1
anggota,19
diperlukan,50
ishiiishii,1
2005,42
genetic,2
ga,10
menimbang,1
fungsi,78
beberap,1
subruang,1
mendapat,22
diselidiki,1
ho,1
melatih,9
atribut,9
perturbationbased,1
esemble,1
subspacebased,1
dat,2
138,2
explaining,2
improving,8
behavior,13
representations,2
language,10
knnlm,3
memperluas,6
bahasa,41
praterlatih,1
menginterpolasi,1
berikutnya,9
metlearner,1
disetel,1
menghafal,1
mengambil,51
longtail,1
langkarajani,1
mengadaptasi,2
konteks,33
cara,123
deepknn,1
representasi,27
gambar,269
bagaimana,75
keputusan,87
mengklasifikan,1
mengamati,9
label,10
memperbaiki,15
merek,2
berpengaruh,50
interpretasi,4
korpus,1
utilitas,2
mundur,8
kepercayaan,26
batas,64
atas,148
tersembunyi,11
mempelajari,9
finegrained,1
membantu,77
membuatnya,3
perubahan,78
kebenaran,9
terbalik,3
voice,3
disorder,4
identification,5
by,60
hilberthuang,2
transform,3
hht,3
cocok,5
berpotongan,1
tumpang,7
tindihl,1
pelatihannya,3
abnormal,2
xinyu,2
lili,5
menambahkan,10
vision,5
mewujudkan,8
pemantuan,1
realtime,7
suara,40
signifikansi,6
klinis,9
mendiagnosis,2
disfoniatartarisco,1
normal,36
performansi,2
933,2
93,4
rate,9
f1score,4
94,6
auc,2
976,1
memverifikasi,9
validitas,2
reliabilitas,2
generalisasi,2
pembahasan,42
adanya,125
menutup,2
kemungkinan,17
mengembangankan,1
varianvarian,1
didalam,58
diatas,35
bukti,44
algroritma,1
keterbaruan,1
pun,22
terus,43
139,2
kesimpulan,69
dasarnya,13
supervised,4
suatu,154
diteliti,7
antaranya,11
standarisasi,4
memasukkan,8
memastikan,27
variabel,89
ingin,40
diprediksi,6
semakin,89
jaraknya,1
bobotnya,2
3,358
komputasi,8
crossvalidation,2
menghindari,34
overfitting,4
underfitting,1
terlihat,22
teknikteknik,2
kita,160
abidin,3
nur,14
haziqah,1
zainal,1
muhammad,29
akmal,1
remli,1
noorlin,1
mohd,1
ali,9
danakorn,1
nincarean,1
eh,1
phon,1
nooraini,1
yusoff,1
hasyiya,1
karimah,2
adli,1
abdelsalam,1
h,57
busalim,1
intelligent,2
personality,1
prediction,3
myersbriggs,1
type,6
indicator,3
journal,155
advanced,5
computer,34
applications,16
doi1014569ijacsa20200111125,1
abu,5
haneen,1
arafat,1
ahmad,12
ba,4
hassanat,1
omar,1
lasassmeh,1
s,151
tarawneh,1
mahmoud,2
bashir,1
alhasanat,1
hamzeh,1
eyal,1
salman,1
v,30
bsurya,1
prasath,1
74,8
22148,1
doi101089big20180175,1
alemari,1
salam,2
mohammed,1
anbar,1
yousef,1
sanjalawe,1
selvakumar,1
manickam,1
iznan,1
hasbullah,1
systems,12
blockchain,59
technology,69
issues,12
challenges,8
engineering,55
doi1032604csse2022017941,1
yingbo,1
meiling,1
emerging,3
technologies,7
144,5
73,4
88,30
doi103991ijetv14i0410131,1
chaoyu,1
junjiang,1
zejun,1
xiang,3
xue,2
hu,5
140,8
356,1
932e1932e11,1
doi101016jjvoice202003009,1
yewang,1
xiaoliang,1
wentao,1
fan,1
lianlian,1
zheng,1
xin,1
liu,12
jixiang,1
du,3
knowledgebased,5
187xxxx,1
doi101016jknosys201906032,1
dong,2
shi,2
mudar,1
ieee,24
8,103
503948,1
doi101109access20192963077,1
fu,4
jianru,1
guoping,1
computational,6
neuroscience,2
doi10115520225792694,1
shibani,1
youssef,1
iraqi,1
ismail,4
shahin,1
naoufel,1
werghi,1
pitch,1
correlogram,1
sparse,1
matrix,3
representation,4
doi101109access20213086062,1
ishii,1
naohiro,1
eisuke,1
tsuchiya,1
yongguang,1
bao,3
nobuhiko,1
yamaguchi,1
combining,2
improvements,2
processing,1
proceedings,9
third,1
acis,1
conference,22
software,19
research,122
management,12
sera,1
doi101109sera200530,1
itoo,1
fayaz,1
satwinder,1
information,57
singapore,6
150311,1
doi101007s4187002000430y,1
khan,2
mohammad,2
mahmudur,1
rahman,8
rezoana,1
bente,1
arif,3
bakr,1
siddique,1
mahjabin,1
oishe,1
4th,3
electrical,2
communication,6
iceeict,1
12429,1
doi101109ceeict20188628041,1
ansam,1
iqbal,6
gondal,1
peter,1
vamplew,1
joarder,1
kamruzzaman,1
survey,16
techniques,10
cybersecurity,9
doi101186s42400019,1
00387,1
kilincer,1
ilhan,1
firat,1
fatih,1
abdulkadir,1
188october,1
107840,1
doi101016jcomnet2021107840,1
li,6
tiezhu,1
qiao,1
yusong,1
pang,2
haitao,1
gaowei,1
system,68
liquid,1
impurities,1
dynamic,1
morphological,1
characteristic,1
measurement,3
confederation,1
doi101016jmeasurement201804015,1
ma,8
yuhong,1
normalized,1
optimization,4
platform,33
tuning,5
hadoop,2
doi101109access20223195872,1
141,3
mehta,1
ankush,1
deepam,1
goyal,1
anurag,1
choudhary,1
b,116
pabla,1
safya,1
belghith,1
learningbased,1
fault,1
diagnosis,15
selfaligning,1
bearings,1
rotating,1
machinery,1
infrared,21
thermography,2
mathematical,3
problems,12
doi10115520219947300,1
na,2
junying,1
zhiping,1
siqi,1
lv,2
zhaohui,1
neighborsbased,1
epilepsy,1
doi101109access20213081767,1
zhibin,1
yikun,1
yiwei,1
204,3
106185,1
doi101016jknosys2020106185,1
rajani,1
nazneen,1
fatema,1
ben,1
krause,1
wengpeng,1
yin,1
tong,1
niu,1
richard,7
socher,1
caiming,1
xiong,1
httparxivorgabs201009030,1
tamrakar,1
preeti,1
p,105
lazy,1
associative,1
dwknn,1
itm,1
conferences,1
doi101051itmconf20213701023,1
tartarisco,1
gennaro,1
roberta,1
bruschetta,1
susanna,1
summa,1
liliana,1
ruta,1
martina,1
favetta,1
mario,1
busa,1
alberto,1
romano,2
dysarthria,1
assessment,4
children,18
ataxia,1
hierarchical,1
approach,6
doi101109access20213135078,1
shahadat,1
ibtisham,1
haque,1
haohui,1
lu,6
moni,1
ergun,1
gide,1
its,17
variants,1
disease,10
scientific,8
reports,6
doi101038s4159802210358x,1
umamaheswari,1
j,105
cloud,8
parallel,1
trends,6
prespectives,1
prospects,1
comitcon,1
17783,1
doi101109comitcon20198862221,1
boyuan,1
xingli,1
gan,2
xuelin,1
baoguo,1
yu,6
ruicai,1
jia,2
huang,2
haonan,1
30591602,1
doi101109access20202973212,1
lishan,1
implementation,5
iop,1
series,3
materials,2
doi1010881757899x6775052038,1
shichao,1
neurocomputing,2
391,2
23442,1
doi101016jneucom201811101,1
youqiang,1
guo,8
cao,2
bisheng,1
xuesong,1
85,21
1325,1
doi101016jpatcog201808003,1
tao,1
libin,1
jing,1
mengmeng,1
yanrui,1
shanbo,1
feng,1
lou,1
haijun,1
msifinder,1
python,12
package,2
detecting,3
msi,1
status,50
bmc,1
bioinformatics,1
doi101186s1285902103986z,1
riset,42
manajemen,58
jrmsivol,8
no,336
2013,70
tukar,35
suku,43
bunga,56
inflasi,45
indeks,81
harga,77
saham,79
perusahaan,42
properti,51
terdaftar,6
bursa,16
efek,30
umi,8
mardiyati,8
fakultas,47
ekonomi,223
program,90
s1,8
universitas,119
negeri,38
jakarta,65
email,41
umimardiyatigmailcom,1
ayi,8
rosalina,8
ayirosalinagmailcom,1
abstract,31
this,78
aims,11
to,207
analyze,5
effect,12
variable,12
exchange,11
rates,5
interest,6
inflation,5
share,3
prices,2
listed,5
property,12
sector,15
stock,15
population,4
company,2
incorporated,1
bei,8
period,6
2007,37
2011,46
samples,2
obtained,7
purposive,7
sampling,12
obtain,1
48,20
companies,3
uses,9
ordinary,4
least,4
square,5
determine,3
independent,3
variables,2
price,8
index,7
t,67
significant,9
negative,7
while,4
have,20
positive,3
but,7
not,17
results,27
simultaneously,2
showed,4
that,82
all,23
significantly,1
influence,17
so,19
only,6
has,11
key,3
words,2
pendahuluan,39
pasar,39
modal,28
perekonomian,23
negara,161
pembiayaan,7
kegiatan,92
penjualan,34
penerbitan,4
obligasi,1
dana,9
menjalankan,15
sekaligusyaitu,1
keuangan,22
mengalokasikan,1
efisien,21
pihak,54
kelebihan,20
pemilik,10
investor,15
kepada,162
emiten,4
kesempatan,16
imbalan,3
return,17
karakter,76
investasi,15
dipilih,14
semenjak,2
krisis,5
menghantam,1
pertengahan,3
1997,15
badan,85
usaha,35
menurun,15
tajam,6
bahkan,52
diantaranya,34
menderita,5
kerugian,17
tentu,19
khususnya,28
berdampak,34
variabelvariabel,3
makro,5
mengalami,110
calon,17
sinyal,12
meningkatnya,12
aktivitas,101
perdagangan,7
lengkap,11
masyarakat,235
meningkat,56
cerminan,4
pergerakan,19
menerus,11
disebarluaskan,2
media,168
cetak,10
elektronik,21
berinvestasi,4
sektoral,2
real,6
estate,3
memberi,27
jatuh,3
sedang,65
bangunnya,1
pertumbuhan,101
pula,27
menginvestasikan,2
modalnya,2
industri,49
ditandai,10
pembangunan,80
ruko,1
apartemen,3
mal,3
pusat,79
perbelanjaan,1
tak,41
kota,98
pertentangan,1
teori,32
terjadi,140
terdahulu,8
mok,2
thobarry2009,2
penelitiannya,18
parsial,13
mempunyai,81
gudono,3
penilitian,3
meta,7
desislava,4
sodikin,5
kusuma,5
2008,38
permana,6
2009,64
menyatakan,48
frederic,1
miskhin,1
raharjo2007,2
portofolionya,1
permintaan,19
surat,9
berharga,7
kekayaan,34
kurs,12
penawaran,5
dipengaruhi,23
profitabilitas,2
pemerintah,62
terikat,5
bebas,29
menguji,22
apakah,48
simultan,12
tambahan,15
pertimbangan,19
kebijakankebijakan,2
darmadji,2
2006,20
mengemukakan,6
instrumen,14
jangka,18
panjang,27
diperjualbelikan,4
bentuk,88
hutang,1
ekuitas,3
derivatif,1
madura,3
fluktuasi,3
mata,22
uang,23
moneter,3
asing,13
domestik,7
darmadji2006,1
tarik,12
menanamkan,7
investasinya,1
deposito,1
sbi,12
tersaingi,1
cahyono,1
terdapat,114
kenaikan,22
mendorong,44
bawah,29
mengubah,33
peta,3
memotong,1
laba,1
beban,5
labanya,1
terpangkas,1
produksi,38
produk,94
mahal,3
konsumen,7
mungkin,63
menunda,2
pernbeliannya,1
dananya,1
bank,14
penurunan,26
labasehingga,1
menekan,5
menawarkan,12
pengembalian,3
risiko,101
dipergunakan,9
dikembalikan,3
mendatang,5
aalah,1
naik,7
turunnya,3
melonjak,1
sekaligus,13
berlangsung,8
perlahan,2
sartono,1
mudji2003,1
peristiwa,2
naiknya,2
gejolak,3
kemampuan,68
beli,5
individu,105
dijumpai,2
hampir,12
dunia,131
dipastikan,4
mati,5
papan,2
pokok,25
manusia,253
berusaha,10
memenuhinya,1
perkotaan,16
melonjaknya,1
urbanisasi,1
konsekuensi,5
pesatnya,2
kotakota,2
daerahdaerah,1
pendukung,12
lambat,6
laun,1
bisnis,62
infrastruktur,19
perumahan,4
penduduk,33
sekitarnya,5
volatilitasnya,1
imbasnya,1
6,142
positif,40
rupiahus,4
dollar,8
hubungan,120
lead,3
tengah,30
bi,4
bersamasama,7
ketujuh,6
eps,3
bvs,2
pbv,2
roe,2
ketiga,35
empiris,7
penulis,64
mengekspektasikan,1
adapun,29
kerangka,12
pemikiran,20
x1,4
h1,2
x2,4
h2,2
y,58
x3,4
h3,2
h4,2
bagan,1
diolah,19
7,130
hipotesis,9
dirumuskan,4
berikut,101
uraian,6
laju,13
periode,36
20072011,1
sekunder,15
berupa,66
closing,2
indonesian,14
capital,4
market,4
directory,1
icmd,1
dikutip,7
situs,15
resmi,4
wwwbigoid,1
bps,12
biro,2
statistik,38
bulanan,3
unit,18
observasi,26
sebanyak,53
60,43
x,68
12,106
bulan,36
eviews,1
61,6
asosiatif,1
mengetahui,49
bo,2
b1,3
b2,3
b3,29
e,115
konstanta,3
inf,9
error,11
mengidentifikasinya,1
akhir,18
9,135
us,10
rupiah,7
dikeluarkan,13
bulannya,2
diambil,48
mengukur,4
menggambarkan,16
nasional,72
barang,32
jasa,14
diproduksi,2
diterbitkan,8
tiap,15
keseluruhan,24
operasionalisasi,2
proxy,2
jual,6
deskriptif,24
lima,16
total,46
idk,2
mean,1
94684,1
007,2
049,2
17270,2
maximum,2
12151,1
009,2
177,5
25181,2
8508,1
006,2
032,2
9603,2
std,1
dev,1
8478,1
001,7
048,2
4148,2
observations,1
rp8508,1
juli,41
menguat,1
menganut,1
managed,1
floating,1
menariknya,3
kekuatankekuatan,1
mechanism,1
rp12151,1
november,15
melemah,1
rp946840,1
deviasi,4
rp84780,1
tingginya,12
maret,4
deflasi,1
januari,22
terjadinya,34
demandpull,1
costpush,1
diartikan,13
tertarik,10
sahamnya,2
desember,41
didapat,12
terbebas,2
klasik,4
normalitas,1
ringkasan,1
tstatistic,2
prob,2
7420712,1
5264254,1
00000,2
2334238,1
0679541,1
05004,1
0026626,1
1098310,1
02782,2
r2,3
0915939,1
fstat,2
0000000,2
at,27
memilki,3
742,1
melemahnya,2
menurunnya,5
amerika,9
beralih,2
keuntungan,16
akhirnya,19
menurunkan,16
hadiningsih,1
2001,14
233,3
050,4
menandakan,4
diberlakukan,1
dampaknya,7
pemegang,5
masuk,25
kurang,71
rendahnya,4
minat,5
didukung,10
arima,1
003,2
sekali,27
09159,1
59,8
dipengaruhiditentukan,1
sisanya,7
841,1
saran,26
kebijakan,201
selanjutnya,81
menyamakan,1
sektorsektor,2
diluar,3
13,70
menambah,10
makroekonomi,2
memperhatikan,22
fundamental,7
internal,28
melihat,56
saja,66
daftar,38
rujukan,6
almilia,1
luciana,2
spica,1
2004,30
financial,4
distress,1
jakartasimposium,1
akuntansi,6
kelvihal546564,1
anderson,4
sweeney,1
williams,3
statistic,2
business,9
economics,19
tenth,2
edition,6
thomson,3
southwestern,2
katalog,1
1103003,1
strategis,5
2002,29
kerjasama,23
internasional,25
brigham,1
euguene,1
2010,44
buku,22
panduan,3
tjiptono,1
edisi,26
penerbit,14
salemba,4
barat,13
dimitrova,1
relationship,7
between,15
studied,1
multivariate,2
political,28
vol,214
14,53
college,3
wooster,1
penilaian,8
madani,2
imei,1
kelola,6
20viii1999,1
hardinigsih,1
