ngram,frequency
dalam berbagai,22
berbagai kasus,1
kasus aplikasi,1
aplikasi namun,1
namun kelemahan,1
kelemahan utama,1
utama algoritma,1
ini adalah,74
adalah sensitifitasnya,1
sensitifitasnya terhadap,1
terhadap parameter,1
parameter seperti,1
seperti jumlah,1
jumlah tetangga,1
tetangga k,1
k dan,2
dan metrik,1
metrik jarak,8
jarak yang,10
yang digunakan,127
digunakan seiring,1
seiring waktu,1
waktu banyak,1
banyak peneliti,1
peneliti telah,2
telah melakukan,1
melakukan berbagai,4
berbagai pengembangan,2
pengembangan dan,4
dan improvisasi,1
improvisasi terhadap,1
terhadap knn,1
knn untuk,6
untuk meningkatkan,36
meningkatkan akurasi,3
akurasi hasil,1
hasil klasifikasinya,1
klasifikasinya berbagai,1
berbagai pendekatan,1
pendekatan telah,1
telah diterapkan,3
diterapkan seperti,1
seperti optimasi,1
optimasi pemilihan,1
pemilihan parameter,1
parameter pengembangan,1
pengembangan metode,1
metode pengukuran,1
pengukuran jarak,1
jarak hingga,1
hingga penerapan,1
penerapan algoritma,3
algoritma hibrida,1
hibrida dengan,1
dengan teknik,6
teknik machine,2
learning lainnya,2
lainnya improvisasi,1
improvisasi yang,1
yang dikembangkan,14
dikembangkan mencakup,1
mencakup penyesuaian,1
penyesuaian adaptif,1
adaptif pada,1
pada nilai,3
nilai k,7
k penggunaan,1
penggunaan metrik,2
yang lebih,114
lebih kompleks,1
kompleks serta,1
serta integrasi,1
integrasi metode,1
metode optimisasi,1
optimisasi seperti,1
seperti pembobotan,1
pembobotan jarak,1
jarak dan,3
dan teknik,4
teknik ensamble,1
ensamble penelitianpenelitian,1
penelitianpenelitian tersebut,1
tersebut menunjukkan,4
menunjukkan hasil,5
hasil yang,19
yang signifikan,36
signifikan dalam,8
dalam meningkatkan,9
meningkatkan performa,2
performa knn,1
knn baik,1
baik dalam,18
dalam hal,53
hal efisiensi,2
efisiensi maupun,1
maupun akurasi,1
akurasi paper,1
paper ini,2
ini bertujuan,23
bertujuan untuk,44
untuk mengkaji,3
mengkaji berbagai,1
berbagai jenis,13
jenis pengembangan,2
pengembangan yang,3
yang telah,97
telah dilakukan,19
dilakukan pada,7
pada algoritma,4
algoritma knn,40
knn menganalisis,1
menganalisis keunggulan,1
keunggulan dan,1
dan kelemahannya,1
kelemahannya serta,1
serta mengidentifikasi,2
mengidentifikasi factorfaktor,1
factorfaktor yang,1
yang mempengaruhi,30
mempengaruhi kinerja,1
kinerja algoritma,3
ini dengan,19
dengan memahami,1
memahami berbagai,1
berbagai inovasi,1
inovasi yang,1
dilakukan diharapkan,1
diharapkan dapat,12
dapat memberikan,27
memberikan wawasan,4
wawasan mendalam,1
mendalam terkait,2
terkait potensi,1
potensi peningkatan,1
peningkatan lebih,1
lebih lanjut,12
lanjut pada,1
knn selain,3
selain itu,77
itu penelitian,8
penelitian ini,235
ini juga,28
juga membahan,1
membahan penerapan,1
penerapan knn,1
knn dalam,2
berbagai domain,1
domain seperti,1
seperti pengenalan,2
pengenalan pola,3
pola prediksi,1
prediksi dan,1
dan pengolahan,2
pengolahan data,6
data skala,2
skala besar,3
besar hasil,1
hasil kajian,2
kajian ini,3
ini diharapkan,9
dapat menjadi,24
menjadi acuan,2
acuan bagi,1
bagi pengembang,1
pengembang algoritma,1
algoritma untuk,2
untuk memanfaatkan,2
memanfaatkan keunggulan,1
keunggulan knn,1
knn secara,2
secara lebih,3
lebih optimal,3
optimal serta,1
serta membuka,1
membuka peluang,3
peluang penelitian,1
penelitian baru,1
baru dalam,4
dalam bidang,34
bidang klasifikasi,1
klasifikasi berbasis,2
berbasis jarak,2
jarak histori,1
histori artikel,1
artikel submit,1
submit 20241205,1
20241205 diterima,1
diterima 20241213,1
20241213 dipublikasikan,1
dipublikasikan 20241213,1
20241213 kata,1
kata kunci,30
kunci knearest,1
knearest neighbors,3
neighbors machine,1
learning peningkatan,1
peningkatan algoritma,4
algoritma metode,1
metode klasifikasi,7
klasifikasi data,8
data mining,3
mining minimal,1
minimal 5,1
5 kata,1
kata jurnal,1
commons attribution,14
attribution noncommercial,2
noncommercial 40,2
40 latar,1
latar belakang,18
belakang algoritma,1
knn sudah,1
sudah banyak,6
banyak dipakai,1
dipakai untuk,6
untuk penelitian,6
penelitian yang,63
yang berhubungan,12
berhubungan dengan,23
dengan machine,2
learning berbagai,1
berbagai macam,13
macam peran,1
peran digunakan,1
digunakan untuk,88
untuk metode,4
metode pengklasifikasian,1
pengklasifikasian yang,1
yang dilakukan,134
dilakukan oleh,65
oleh knn,2
knn oleh,1
oleh karena,58
karena itu,73
itu banyak,3
banyak juga,4
juga penelitian,3
yang sudah,57
sudah memodifikasi,1
memodifikasi atau,3
atau meningkatkan,1
meningkatkan kinerja,11
kinerja dari,2
dari knn,5
knn tersebut,2
tersebut dimulai,1
dimulai dengan,9
dengan meningkatkan,4
akurasi pada,1
pada pengklasifikasian,1
pengklasifikasian menggabungkan,1
menggabungkan knn,2
knn dengan,4
dengan algoritma,17
klasifikasi merupakan,2
merupakan masalah,5
masalah yang,45
yang penting,17
penting dalam,29
dalam mengolah,1
mengolah big,1
big data,18
data data,4
data science,1
science dan,1
dan machine,1
adalah salah,14
salah satu,134
satu algoritma,1
algoritma tertua,1
tertua paling,1
paling sederhana,2
sederhana dan,3
dan juga,60
juga akurat,1
akurat untuk,2
untuk klasifikasi,17
klasifikasi pola,2
pola dan,3
dan model,18
model regresi,4
regresi knn,1
knn diajukan,1
diajukan pada,1
pada tahun,46
tahun 1951,1
1951 oleh,1
oleh evelyn,1
evelyn dan,1
dan hodges,1
hodges dan,1
dan kemudian,5
kemudian dimodifikasi,1
dimodifikasi oleh,1
oleh cover,1
cover dan,1
dan hart,1
hart knn,1
knn telah,2
telah diidentifikasi,1
diidentifikasi sebagai,1
sebagai salah,12
satu dari,5
dari sepuluh,1
sepuluh metode,1
metode teratas,1
teratas dalam,1
dalam data,12
data miningl,1
miningl wang,1
wang 2019,1
2019 akibatnya,1
akibatnya knn,1
telah dipelajari,2
dipelajari selama,1
selama beberapa,4
beberapa dekade,5
dekade terakhir,3
terakhir dan,2
dan diterapkan,5
diterapkan secara,2
secara luas,4
luas di,1
di berbagai,16
berbagai bidang,8
bidang dengan,1
dengan demikian,33
demikian knn,2
knn terdiri,1
terdiri dari,69
dari pengklasifikasi,1
pengklasifikasi dasar,1
dasar dalam,3
dalam banyak,5
banyak masalah,2
masalah klasifikasi,3
pola seperti,1
pola kategorisasi,1
kategorisasi teks,1
teks model,1
model peringkat,1
peringkat pengenalan,1
pengenalan objek,1
objek dan,1
dan aplikasi,4
aplikasi jurnal,1
40 132,1
132 pengenalan,1
pengenalan peristiwamehta,1
peristiwamehta et,1
et al,190
al 2021,18
2021 knn,1
adalah algoritma,5
algoritma nonparametric,1
nonparametric nonparametrik,1
nonparametrik berarti,1
berarti tidak,3
tidak ada,43
ada parameter,1
parameter atau,1
atau jumlah,2
jumlah parameter,1
parameter tetap,1
tetap terlepas,1
terlepas dari,3
dari ukuran,1
ukuran data,1
data sebaliknya,1
sebaliknya parameter,1
parameter akan,1
akan ditentukan,2
ditentukan oleh,9
oleh ukuran,1
ukuran kumpulan,1
kumpulan data,14
data pelatihan,3
pelatihan meskipun,1
meskipun tidak,2
ada asumsi,1
asumsi yang,1
yang perlu,16
perlu dibuat,1
dibuat untuk,7
untuk distribusi,1
distribusi data,3
data yang,106
yang mendasarinya,2
mendasarinya dengan,1
knn bisa,1
bisa menjadi,11
menjadi pilihan,2
pilihan terbaik,1
terbaik untuk,9
untuk setiap,8
setiap studi,1
studi klasifikasi,1
klasifikasi yang,9
yang melibatkan,10
melibatkan sedikit,1
sedikit atau,1
atau tanpa,6
tanpa pengetahuan,2
pengetahuan sebelumnya,1
sebelumnya tentang,1
tentang distribusi,1
data selain,2
itu knn,1
satu metode,5
metode pembelajaran,4
yang paling,31
paling malastamrakar,1
malastamrakar and,1
and syed,1
syed ibrahim,2
ibrahim 2021,2
2021 ini,1
ini berarti,16
berarti penyimpanan,1
penyimpanan semua,1
semua data,1
pelatihan akan,1
akan menunggu,1
menunggu sampai,1
sampai data,1
data uji,12
uji dihasilkan,1
dihasilkan tanpa,1
tanpa harus,4
harus membuat,1
membuat model,3
model pembelajaran,5
pembelajaran kelambatan,1
kelambatan bukan,1
bukan satusatunya,1
satusatunya masalah,1
yang terkait,9
terkait dengan,31
dengan pengklasifikasi,1
pengklasifikasi knn,5
selain memilih,1
memilih masalah,1
masalah kneighbors,1
kneighbors terbaik,1
terbaik memilih,1
memilih ukuran,1
ukuran jarakkesamaan,1
jarakkesamaan terbaik,1
terbaik adalah,1
adalah masalah,1
masalah penting,1
penting hal,1
hal ini,171
ini karena,6
karena kinerja,1
kinerja pengklasifikasi,2
knn bergantung,1
bergantung pada,11
pada jarakukuran,1
jarakukuran kesamaan,1
kesamaan yang,3
yang digunakanabu,1
digunakanabu alfeilat,1
alfeilat et,2
al 2019,15
2019 uddin,1
uddin et,1
al 2022,6
2022 kelemahan,1
kelemahan pada,2
knn ini,2
ini banyak,5
banyak dijadikan,1
dijadikan sebagai,8
sebagai bahan,13
bahan para,1
para peniliti,1
peniliti untuk,1
untuk berupaya,1
berupaya agar,1
agar meningkatkan,1
knn sehingga,2
sehingga banyak,1
banyak jenis,2
jenis dari,2
dari peningkatan,1
peningkatan ataupun,1
ataupun modifikasi,1
modifikasi dari,1
dari algoritma,11
knn banyak,1
juga knn,1
knn digabungkan,1
digabungkan dengan,1
lainnya sehingga,4
sehingga dapat,28
dapat mengurangi,11
mengurangi dari,1
dari kelemahan,1
kelemahan knn,1
tersebut oleh,2
penelitian akan,1
akan berfokus,2
berfokus mengenalkan,1
mengenalkan beberapa,1
beberapa modifikasi,1
modifikasi dan,1
dan peningkatan,4
peningkatan dari,6
sehingga dengan,4
dengan harapan,5
harapan dapat,2
menjadi pedoman,3
pedoman untuk,3
penelitian di,5
di masa,17
masa yang,4
yang akan,70
akan datang,5
datang studi,1
studi literatur,10
literatur beberapa,1
beberapa penelitian,8
penelitian sudah,1
banyak meneliti,1
meneliti tentang,1
tentang peningkatan,4
knn dan,7
dan pemodifikasian,1
pemodifikasian dari,1
knn setiap,1
setiap penelitian,2
penelitian memiliki,1
memiliki variasi,1
variasi studi,1
studi yang,4
yang berbedabeda,6
berbedabeda mulai,1
mulai dari,26
dari data,17
data distribusi,1
distribusi tipe,1
tipe data,6
data dan,43
dan menggunakan,4
menggunakan jumlah,2
jumlah jarak,1
dan ukuran,2
ukuran kesamaan,1
kesamaan yan,1
yan berbeda,1
berbeda pengembangan,1
pengembangan knn,2
ini jelas,2
jelas banyak,1
banyak dilakukan,3
dilakukan karena,6
karena algoritma,1
ini cukup,3
cukup sederhana,2
sederhana tetapi,1
tetapi efektif,1
efektif untuk,12
untuk masalah,3
klasifikasi dan,2
dan regresi,3
regresi proses,1
proses pengembangan,3
secara umum,13
umum dapat,3
dapat dilakukan,28
dilakukan dengan,45
dengan pengumpulan,3
pengumpulan data,34
data pemilihan,1
pemilihan fitur,3
fitur penentuan,1
penentuan nilai,2
k perhitungan,1
perhitungan jarak,1
jarak penentuan,1
penentuan kelas,1
kelas ata,1
ata nilai,1
nilai dan,8
dan evaluasi,3
evaluasi model,1
model dengan,4
dengan mengikuti,1
mengikuti langkah,1
langkah sederhana,1
sederhana itu,1
itu maka,1
maka pengembangan,1
knn dapat,1
dilakukan dan,6
dan di,7
di aplikasikan,1
aplikasikan untuk,1
untuk jenis,1
jenis masalah,1
klasifikasi seperti,1
seperti pada,6
pada penelitian,36
penelitian inian,1
inian xu,1
xu and,3
and shen,2
shen 2019,3
2019 yang,1
yang melakukan,20
melakukan peningkatan,1
peningkatan knn,2
klasifikasi metode,1
pembelajaran dimana,1
dimana pada,3
pada proses,4
proses klasifikasi,5
yang menggunakan,30
menggunakan knn,1
knn tradisional,2
tradisional diganti,1
diganti dengan,2
dengan diusulkan,1
diusulkan algoritmaknn,1
algoritmaknn yang,1
yang berdasarkan,4
berdasarkan skema,2
skema density,2
density tailoring,2
tailoring pada,1
penelitian lainnyab,1
lainnyab wang,1
wang et,2
al 2020,16
2020 disini,1
disini mengusulkan,1
mengusulkan metode,2
metode weighted,2
weighted knn,4
knn wknn,2
wknn yang,2
yang dimana,6
dimana metode,3
metode ini,15
sebuah peningkatan,1
knn yang,10
untuk mencapa,1
mencapa akurasi,1
akurasi pemosisian,2
pemosisian tingkat,2
tingkat ruangan,2
ruangan algoritma,1
ini menggunakan,43
menggunakan pengelompokan,1
pengelompokan propagasi,2
propagasi afinitas,2
afinitas untuk,2
untuk mengelompokkan,2
mengelompokkan reference,2
reference point,2
point rp,2
rp terdekat,2
terdekat sesuai,2
sesuai dengan,83
dengan jarak,2
jarak posisi,3
posisi mereka,2
mereka satu,2
satu sama,7
sama lain,6
lain dan,12
dan outlier,2
outlier disaring,2
disaring untuk,2
untuk memesan,2
memesan subset,2
subset dengan,2
dengan jumlah,16
jumlah rp,2
rp yang,3
lebih besar,22
besar yang,5
pada hasilnya,1
hasilnya dengan,1
meningkatkan algoritma,2
ini membuat,4
membuat keakuratan,1
keakuratan yang,1
yang baik,97
baik metode,2
metode penelitian,40
ini merupakan,32
merupakan kajian,2
kajian pustaka,6
pustaka dari,1
dari beberapa,12
beberapa artikel,3
artikel yang,13
terkait algoritma,2
knn peninjauan,1
peninjauan dilakukan,1
dilakukan dari,4
beberapa upaya,3
upaya penelitian,1
penelitian terbaru,2
terbaru yang,2
yang memanfaatkan,5
memanfaatkan algoritma,1
knn setelah,1
setelah itu,6
itu kajian,1
ini berasal,2
berasal dari,34
beberapa literasi,1
literasi dan,1
dan mencakup,1
mencakup upaya,1
upaya peningkatan,2
peningkatan serta,1
serta modifikasi,1
modifikasi pada,2
yang dibagi,1
dibagi ke,2
ke dalam,39
dalam setiap,8
setiap judul,1
judul penelitian,2
penelitian proses,1
proses pengumpulan,1
untuk memeriksa,2
memeriksa beberapa,1
beberapa literature,1
literature sangat,1
sangat berguna,1
berguna untuk,5
untuk mencari,8
mencari dan,1
dan memperoleh,5
memperoleh sumber,1
sumber kajian,2
kajian berdasarkan,1
berdasarkan penelitian,4
penelitian relevan,1
relevan sebelumnya,1
sebelumnya teoriteori,1
teoriteori yang,2
yang jurnal,2
40 133,1
133 mendukung,1
mendukung data,1
dan informasi,19
informasi sebagai,1
sebagai referensi,5
referensi dalam,1
dalam dokumentasi,1
dokumentasi pada,1
ini di,7
di tabel,1
tabel 1,38
1 akan,1
akan dijelaskan,3
dijelaskan lebih,1
lebih detail,2
detail tentang,1
algoritma yang,16
sudah pernah,2
pernah dilakukan,1
dilakukan sebelumnya,2
sebelumnya dan,3
dan perbandingan,2
perbandingan dari,1
dari jenisjenis,2
jenisjenis algoritma,1
knn hasil,2
hasil hasil,2
hasil dari,33
dari ulasan,1
ulasan menunjukkan,1
menunjukkan beberapa,1
penelitian menggunakan,2
menggunakan algoritma,28
yang ditingkatkan,6
ditingkatkan untuk,1
untuk memecahkan,5
memecahkan masalah,5
masalah sesuai,1
dengan kebutuhan,11
kebutuhan pada,1
pada bidang,12
bidang penelitian,1
penelitian masingmasing,1
masingmasing penjelasan,1
penjelasan mengenai,2
mengenai peningkatan,1
dan mengenai,1
mengenai pemecahan,1
pemecahan masalahnya,1
masalahnya secara,1
secara detail,2
detail ditunjukkan,1
ditunjukkan pada,13
pada tabel,30
1 tabel,3
1 perbandingan,2
perbandingan jenis,1
pengembangan dengan,1
knn judul,1
penelitian keterangan,1
keterangan effects,1
effects of,9
of distance,2
distance measure,2
measure choice,2
choice on,2
on k,1
k nearest,11
neighbor classifier,2
classifier performance,2
performance a,2
a review,9
review menganalisis,1
menganalisis kinerja,2
knn menggunakan,2
menggunakan 11,1
11 ukuran,1
ukuran jarak,1
jarak termasuk,1
termasuk euclidean,1
euclidean distance,3
distance ed,2
ed manhattan,1
manhattan distance,1
distance md,1
md minkowski,2
minkowski distance,2
distance chebychev,2
chebychev distance,2
distance cosine,1
cosine distance,2
distance cosd,1
cosd correlation,1
correlation distance,1
distance cord,1
cord hamming,1
hamming distance,1
distance hamd,1
hamd jaccard,1
jaccard distance,1
distance jacd,1
jacd standardized,1
standardized euclidean,2
distance dan,2
dan spearman,1
spearman distance,1
distance penelitian,1
ini telah,3
diterapkan pada,7
pada delapan,1
delapan set,1
set data,4
data sintetik,1
sintetik biner,1
biner dengan,2
dengan berbagai,13
jenis distribusi,1
distribusi yang,1
yang dihasilkan,16
dihasilkan menggunakan,1
menggunakan matlab,2
matlab mereka,1
mereka membagi,1
membagi setiap,1
setiap set,1
data menjadi,7
menjadi 70,2
70 untuk,2
untuk set,2
set pelatihan,2
pelatihan dan,7
dan 30,5
30 untuk,2
set pengujian,3
pengujian hasilnya,1
hasilnya menunjukkan,2
menunjukkan bahwa,73
bahwa ukuran,1
ukuran md,1
ed mahalanobis,1
mahalanobis distance,1
dan standardized,1
distance mencapai,1
mencapai hasil,3
hasil akurasi,6
akurasi yang,20
yang sama,31
sama dan,3
dan mengungguli,1
mengungguli jarak,2
yang diuji,11
diuji lainnya,2
lainnya kumpulan,1
data dinormalisasi,1
dinormalisasi sebelum,1
sebelum melakukan,2
melakukan percobaan,2
percobaan untuk,1
untuk mengevaluasi,6
mengevaluasi kinerja,1
kinerja knn,1
knn pengukuran,1
pengukuran akurasi,1
akurasi sensitivitas,1
sensitivitas dan,1
dan spesifitas,1
spesifitas dihitung,1
dihitung untuk,1
setiap jarak,1
jarak hasil,1
yang dilaporkan,2
dilaporkan menunjukkan,1
bahwa penggunaan,8
penggunaan md,1
md mengungguli,1
lainnya dengan,5
dengan tingkat,9
tingkat akurasi,10
akurasi 978,1
978 tingkat,1
tingkat sensitivitas,1
sensitivitas 9676,1
9676 dan,1
dan tingkat,10
tingkat spesifisitas,1
spesifisitas 9835,1
9835 tidak,1
ada metric,1
metric jarak,1
jarak optimal,1
optimal yang,1
yang dapat,128
dapat digunakan,33
untuk semua,4
semua jenis,1
jenis kumpulan,1
data karena,1
karena hasilnya,1
bahwa setiap,10
setiap kumpulan,1
data menyerupai,1
menyerupai metrik,1
jarak tertentu,1
tertentu performa,1
performa diukur,1
diukur dengan,4
dengan akurasi,9
akurasi presisi,2
presisi dan,6
dan recall,7
recall dari,1
knn hanya,4
hanya turun,1
turun 20,1
20 sedangkan,1
sedangkan noise,1
noise level,1
level mencapai,1
mencapai 90,1
90 ini,1
ini berlaku,1
berlaku untuk,1
semua distance,1
distance yang,1
digunakan ini,1
berarti bahwa,14
bahwa pengklasifikasi,1
menggunakan salah,1
dari 10,4
10 distance,1
distance teratas,1
teratas menoleransi,1
menoleransi noise,1
noise hingga,1
hingga tingkat,1
tingkat tertentuabu,1
tertentuabu alfeilat,1
2019 a,3
a new,5
new locally,2
locally adaptive,2
adaptive k,1
neighbor algorithm,2
algorithm based,6
based on,29
on discrimination,2
discrimination class,2
class metode,1
metode pemilihan,2
pemilihan nearest,2
nearest neighbour,1
neighbour dari,1
knn tidak,5
tidak cukup,6
cukup handal,1
handal salah,1
satu alasannya,1
alasannya adalah,1
adalah karena,4
karena mengabaikan,1
mengabaikan pengaruh,1
pengaruh distribusi,1
distribusi spasial,1
spasial dari,1
dari kueri,3
kueri dan,3
dan instance,1
instance pelatihan,1
pelatihan pada,1
pada klasifikasi,3
klasifikasi oleh,1
itu konsep,1
konsep baru,1
baru nearest,1
nearest centroid,1
centroid neighbor,1
neighbor ncn,1
ncn diusulkan,1
diusulkan yang,2
yang mempertimbangkan,2
mempertimbangkan distribusi,1
distribusi contoh,1
contoh pelatihan,3
pelatihan di,3
di lingkungan,16
lingkungan kueri,1
kueri algoritma,1
algoritma dependent,1
dependent nearest,1
neighbor dnn,1
dnn yang,1
mempertimbangkan tidak,1
tidak hanya,30
hanya kesamaan,1
yang ditentukan,3
oleh jarak,1
jarak tetapi,1
tetapi juga,37
juga ketergantungan,1
ketergantungan yang,1
ditentukan dengan,3
dengan angle,1
angle ketika,1
ketika memilih,1
memilih nearest,1
neighbor yang,2
yang bergantung,3
bergantung dari,1
kueri alasan,1
alasan lain,2
lain adalah,7
adalah bahwa,5
bahwa metode,5
neighbor dari,1
hanya menggunakan,5
menggunakan kesamaan,1
kesamaan sepihak,1
sepihak dilihat,1
dilihat dari,11
dari sudut,2
sudut pandang,4
pandang kueri,1
kueri untuk,2
meningkatkan kesamaan,1
kesamaan antara,2
antara kueri,1
dan nearest,1
neighbor informasi,1
informasi neighbor,1
neighbor pada,1
pada contoh,1
pelatihan tilah,1
tilah diperhitungkan,1
diperhitungkan dalam,1
banyak pekerjaan,1
pekerjaan algoritma,1
menggunakan neighbor,1
neighbor kelas,1
kelas mayoritas,1
mayoritas di,1
di k,1
k neighborhood,1
neighborhood dari,1
untuk menentukan,20
menentukan hasil,2
hasil klasifikasi,12
klasifikasi kueri,1
dan sepenuhnya,1
sepenuhnya mengabaikan,1
mengabaikan informasi,1
informasi termasuk,3
termasuk nearest,1
neighbor di,5
di kelas,2
kelas lain,1
lain yang,25
dapat menyebabkan,28
menyebabkan hasil,1
yang buruk,8
buruk ketika,1
ketika jumlah,1
jumlah nearest,1
kelas yang,5
yang berbeda,48
berbeda tidak,1
tidak jauh,3
jauh berbeda,2
berbeda selain,1
itu algoritma,1
menggunakan nilai,3
k tetap,1
tetap dan,1
dan tunggal,1
tunggal untuk,1
semua kueri,1
kueri tetapi,1
tetapi k,1
k ini,1
ini tidak,18
tidak jurnal,1
40 134,1
134 dapat,1
dapat optimal,1
optimal untuk,3
untuk kueri,1
kueri di,1
di lokasi,6
lokasi spasial,1
spasial yang,2
yang berbedapan,1
berbedapan wang,1
wang and,3
and pan,1
pan 2020,2
2020 study,1
study and,2
and observation,2
observation of,3
of the,112
the variation,2
variation of,2
of accuracies,2
accuracies of,2
of knn,2
knn svm,2
svm lmnn,2
lmnn enn,2
enn algorithms,2
algorithms on,2
on eleven,2
eleven different,2
different datasets,2
datasets from,2
from uci,2
uci machine,2
learning repository,2
repository algoritma,1
dan svm,6
svm mirip,1
mirip seperti,1
seperti dalam,1
dalam kedua,1
kedua kasus,1
kasus di,8
di area,1
area tertentu,2
tertentu yang,9
yang dianggap,13
dianggap menemukan,1
menemukan sebagaian,1
sebagaian besar,1
besar probabilitas,1
probabilitas knn,1
ditingkatkan menunjukkan,1
menunjukkan akurasi,4
lebih baik,39
baik pada,13
pada lokasi,1
lokasi teks,1
teks web,1
web dalam,1
dalam kelompok,3
kelompok daripada,1
daripada algoritma,2
knn otomatis,1
otomatis manfaat,1
manfaat utama,1
utama svm,1
svm adalah,2
adalah kemampuang,1
kemampuang menangani,1
menangani sejumlah,1
sejumlah besar,6
besar kumpulan,1
yang gagal,2
gagal dilakukan,1
dilakukan knn,1
dalam beberapa,7
beberapa kasus,2
kasus disisi,1
disisi lain,2
lain kelemahannya,1
kelemahannya adalah,1
adalah cost,1
cost dan,1
dan kerumitannya,1
kerumitannya yang,1
yang tinggi,33
tinggi untuk,4
untuk mengatasi,21
mengatasi kekurangan,1
kekurangan di,2
di knn,1
knn metode,3
metode lain,4
lain bernama,1
bernama extended,1
extended nearest,1
neighbor enn,1
enn diusulkan,1
diusulkan dan,1
dan kinerjanya,1
kinerjanya diamati,1
diamati yang,1
yang menyiratkan,1
menyiratkan bahwa,1
bahwa enn,1
enn menunjukkan,1
menunjukkan kinerja,2
kinerja yang,7
baik daripada,3
daripada knn,1
knn tradisionalna,1
tradisionalna et,1
2021 di,1
di enn,1
enn selain,1
selain mempertimbangkan,1
mempertimbangkan sampel,1
sampel uji,2
uji data,1
data terdekat,2
terdekat juga,1
juga dihitung,1
dihitung dalam,1
terdekat yang,2
yang memberikan,17
memberikan akurasi,2
pada keempat,1
keempat algoritma,1
algoritma machine,23
learning yaitu,4
yaitu knn,2
knn enn,1
enn svm,1
svm dan,5
dan lmnn,2
lmnn telah,1
telah menunjukkan,4
menunjukkan dampak,1
dampak kuat,1
kuat pada,2
data di,6
berbagai sektor,3
sektor meskipun,1
meskipun saat,1
saat ini,72
ini knn,1
svm digantikan,1
digantikan oleh,3
oleh enn,1
enn dan,1
lmnn namun,1
namun karena,2
karena lebih,3
lebih sempurna,1
sempurna dan,2
dan akurat,8
akurat peran,1
peran vital,1
vital knn,1
svm tidak,1
tidak dapat,34
dapat diabaikankhan,1
diabaikankhan et,1
al 2018,5
2018 ddos,1
ddos attack,4
attack detection,7
detection method,2
method based,3
on improved,4
improved knn,4
knn with,2
with the,14
the degree,3
degree of,3
of ddos,2
attack in,3
in softwaredefined,2
softwaredefined networks,2
networks serangan,1
serangan distributed,1
distributed denial,4
denial of,18
of service,20
service ddos,2
ddos telah,1
telah mengganggu,1
mengganggu ketersediaan,1
ketersediaan jaringan,1
jaringan secara,1
secara selama,1
dekade dan,1
dan masih,2
masih belum,4
belum ada,3
ada mekanisme,1
mekanisme pertahanan,1
pertahanan yang,1
yang efektif,16
untuk melawannya,1
melawannya dalam,1
dalam penelitian,81
ini mereka,2
mereka mengusulkan,1
mengusulkan dua,1
dua metode,1
metode untuk,2
untuk mendeteksi,14
mendeteksi serangan,3
serangan ddos,8
ddos di,1
di sdn,1
sdn salah,1
metode mengadopsi,1
mengadopsi tingkat,1
tingkat serangan,1
ddos untuk,1
untuk mengidentifikasi,11
mengidentifikasi serangan,1
ddos metode,1
lain menggunakan,1
neighbors knn,2
ditingkatkan berdasarkan,1
berdasarkan machine,1
learning untuk,8
untuk menemukan,4
menemukan serangan,1
ddos menggabungkan,1
menggabungkan algoritma,1
klasifikasi support,1
support vector,13
vector machine,13
machine svm,8
svm untuk,4
untuk membangun,11
membangun model,4
model serangan,1
serangan ddosdong,1
